Astar
Name, NoPF , TriageBase , TriageDeg4 , TriangelBase, TriangelBloom
L3 Accesses,  2772727 ,  3162267 ,  3499534 ,  2780050 ,  2800516
Metas,  0 , 5537054 ,  8095092 ,  1059637 ,  2068649
L3 ratio,  1.00000 ,  3.13746 ,  4.18166 ,  1.38480 ,  1.75609
L3 Energy,  .03538 ,  .11103 ,  .14798 ,  .04900 ,  .06214
DRAM Energy,  .96461 , 1.09629 ,  1.18916 ,  .96876 ,  .98366
Total Energy,  .99999 ,  1.20732 ,  1.33714 ,  1.01776 ,  1.04580
PF Used,  ,  233802 ,  820194 ,  30867 ,  41411
PF Unused,  , 373784 ,  693026 ,  5744 ,  25549
PF Accuracy,  ,  .38480 ,  .54201 ,  .84310 ,  .61844
PF Missed,  513391 ,  425839 ,  381663 ,  497537 ,  491884
PF Coverage,  ,  .17054 ,  .25659 ,  .03089 ,  .04190
Lookup Accuracy,  ,  .78895 ,  .89263
Sphinx
Name, NoPF , TriageBase , TriageDeg4 , TriangelBase, TriangelBloom
Time,  0.05503 ,  0.04561 ,  0.04228 ,  0.04339 ,  0.04322
Speedup,  1.00000 , 1.20653 ,  1.30156 ,  1.26826 ,  1.27325
Samples,  19 ,  19 ,  19 ,  19 ,  19
DRAM Reads,  113408448 ,  117044672 ,  119984064 ,  120879872 ,  120969152
DRAM Writes,  7392128 , 8145088 ,  8169536 ,  8194816 ,  8465088
DRAM Ratio,  1.00000 ,  1.03633 ,  1.06086 ,  1.06849 ,  1.07147
L3 Accesses,  1859562 ,  1909999 ,  1981453 ,  1953444 ,  1952354
Metas,  0 , 3694472 ,  8654345 ,  2936893 ,  2954927
L3 ratio,  1.00000 ,  3.01386 ,  5.71951 ,  2.62983 ,  2.63894
L3 Energy,  .03791 ,  .11426 ,  .21684 ,  .09970 ,  .10005
DRAM Energy,  .96208 , .99704 ,  1.02064 ,  1.02798 ,  1.03084
Total Energy,  .99999 ,  1.11130 ,  1.23748 ,  1.12768 ,  1.13089
PF Used,  ,  409814 ,  1126369 ,  1420388 ,  1444234
PF Unused,  , 54364 ,  120340 ,  89499 ,  89647
PF Accuracy,  ,  .88288 ,  .90347 ,  .94072 ,  .94155
PF Missed,  351708 ,  199374 ,  168204 ,  161280 ,  156639
PF Coverage,  ,  .43313 ,  .52176 ,  .54144 ,  .55464
Lookup Accuracy,  ,  .99605 ,  .99700
Xalan
Name, NoPF , TriageBase , TriageDeg4 , TriangelBase, TriangelBloom
Time,  0.08932 ,  0.08243 ,  0.08021 ,  0.06766 ,  0.06952
Speedup,  1.00000 , 1.08358 ,  1.11357 ,  1.32013 ,  1.28481
Samples,  19 ,  19 ,  19 ,  19 ,  19
DRAM Reads,  77023680 ,  109491648 ,  114512128 ,  90015488 ,  93502720
DRAM Writes,  8449920 , 9562176 ,  9675712 ,  8792384 ,  9842112
DRAM Ratio,  1.00000 ,  1.39287 ,  1.45293 ,  1.15600 ,  1.20908
L3 Accesses,  1342546 ,  1767391 ,  1854483 ,  1475184 ,  1527055
Metas,  0 , 2607870 ,  4943290 ,  1980196 ,  2317357
L3 ratio,  1.00000 ,  3.25892 ,  5.06334 ,  2.57375 ,  2.86352
L3 Energy,  .03865 ,  .12597 ,  .19572 ,  .09949 ,  .11069
DRAM Energy,  .96134 , 1.33902 ,  1.39677 ,  1.11131 ,  1.16234
Total Energy,  .99999 ,  1.46499 ,  1.59249 ,  1.21080 ,  1.27303
PF Used,  ,  354370 ,  1050166 ,  1233664 ,  1199338
PF Unused,  , 408513 ,  495916 ,  121521 ,  167009
PF Accuracy,  ,  .46451 ,  .67924 ,  .91032 ,  .87776
PF Missed,  574451 ,  409729 ,  367452 ,  237012 ,  238595
PF Coverage,  ,  .28675 ,  .36035 ,  .58742 ,  .58466
Lookup Accuracy,  ,  .62467 ,  .83559
